_t,Name,State
County,Autauga County,Alabama 
County,Baldwin County,Alabama 
County,Barbour County,Alabama 
County,Bibb County,Alabama 
County,Blount County,Alabama 
County,Bullock County,Alabama 
County,Butler County,Alabama 
County,Calhoun County,Alabama 
County,Chambers County,Alabama 
County,Cherokee County,Alabama 
County,Chilton County,Alabama 
County,Choctaw County,Alabama 
County,Clarke County,Alabama 
County,Clay County,Alabama 
County,Cleburne County,Alabama 
County,Coffee County,Alabama 
County,Colbert County,Alabama 
County,Conecuh County,Alabama 
County,Coosa County,Alabama 
County,Covington County,Alabama 
County,Crenshaw County,Alabama 
County,Cullman County,Alabama 
County,Dale County,Alabama 
County,Dallas County,Alabama 
County,DeKalb County,Alabama 
County,Elmore County,Alabama 
County,Escambia County,Alabama 
County,Etowah County,Alabama 
County,Fayette County,Alabama 
County,Franklin County,Alabama 
County,Geneva County,Alabama 
County,Greene County,Alabama 
County,Hale County,Alabama 
County,Henry County,Alabama 
County,Houston County,Alabama 
County,Jackson County,Alabama 
County,Jefferson County,Alabama 
County,Lamar County,Alabama 
County,Lauderdale County,Alabama 
County,Lawrence County,Alabama 
County,Lee County,Alabama 
County,Limestone County,Alabama
County,Lowndes County,Alabama 
County,Macon County,Alabama 
County,Madison County,Alabama 
County,Marengo County,Alabama 
County,Marion County,Alabama 
County,Marshall County,Alabama 
County,Mobile County,Alabama 
County,Monroe County,Alabama 
County,Montgomery County,Alabama 
County,Morgan County,Alabama 
County,Perry County,Alabama 
County,Pickens County,Alabama 
County,Pike County,Alabama 
County,Randolph County,Alabama 
County,Russell County,Alabama 
County,Shelby County,Alabama 
County,St. Clair County,Alabama 
County,Sumter County,Alabama 
County,Talladega County,Alabama 
County,Tallapoosa County,Alabama 
County,Tuscaloosa County,Alabama 
County,Walker County,Alabama 
County,Washington County,Alabama 
County,Wilcox County,Alabama 
County,Winston County,Alabama 
County,Aleutians East Borough,Alaska 
County,Aleutians West Census Area,Alaska 
County,Bethel Census Area,Alaska 
County,Bristol Bay Borough,Alaska 
County,Denali Borough,Alaska 
County,Dillingham Census Area,Alaska 
County,Fairbanks North Star Borough,Alaska 
County,Haines Borough,Alaska 
County,Juneau City and Borough,Alaska 
County,Kenai Peninsula Borough,Alaska 
County,Ketchikan Gateway Borough,Alaska 
County,Kodiak Island Borough,Alaska 
County,Lake and Peninsula Borough,Alaska 
County,Matanuska-Susitna Borough,Alaska 
County,Nome Census Area,Alaska 
County,North Slope Borough,Alaska 
County,Northwest Arctic Borough,Alaska 
County,Prince of Wales-Outer Ketchikan Census Area,Alaska 
County,Sitka City and Borough,Alaska 
County,Skagway-Hoonah-Angoon Census Area,Alaska 
County,Southeast Fairbanks Census Area,Alaska 
County,Valdez-Cordova Census Area,Alaska 
County,Wade Hampton Census Area,Alaska 
County,Wrangell-Petersburg Census Area,Alaska 
County,Yakutat City and Borough,Alaska 
County,Yukon-Koyukuk Census Area,Alaska 
County,Municipality of Anchorage,Alaska 
County,Apache County,Arizona 
County,Cochise County,Arizona 
County,Coconino County,Arizona 
County,Gila County,Arizona 
County,Graham County,Arizona 
County,Greenlee County,Arizona 
County,La Paz County,Arizona 
County,Maricopa County,Arizona 
County,Mohave County,Arizona 
County,Navajo County,Arizona 
County,Pima County,Arizona 
County,Pinal County,Arizona 
County,Santa Cruz County,Arizona 
County,Yavapai County,Arizona 
County,Yuma County,Arizona 
County,Arkansas County,Arkansas 
County,Ashley County,Arkansas 
County,Baxter County,Arkansas 
County,Benton County,Arkansas 
County,Boone County,Arkansas 
County,Bradley County,Arkansas 
County,Calhoun County,Arkansas 
County,Carroll County,Arkansas 
County,Chicot County,Arkansas 
County,Clark County,Arkansas 
County,Clay County,Arkansas 
County,Cleburne County,Arkansas 
County,Cleveland County,Arkansas 
County,Columbia County,Arkansas 
County,Conway County,Arkansas 
County,Craighead County,Arkansas 
County,Crawford County,Arkansas 
County,Crittenden County,Arkansas 
County,Cross County,Arkansas 
County,Dallas County,Arkansas 
County,Desha County,Arkansas 
County,Drew County,Arkansas 
County,Faulkner County,Arkansas 
County,Franklin County,Arkansas 
County,Fulton County,Arkansas 
County,Garland County,Arkansas 
County,Grant County,Arkansas 
County,Greene County,Arkansas 
County,Hempstead County,Arkansas 
County,Hot Spring County,Arkansas 
County,Howard County,Arkansas 
County,Independence County,Arkansas 
County,Izard County,Arkansas 
County,Jackson County,Arkansas 
County,Jefferson County,Arkansas 
County,Johnson County,Arkansas 
County,Lafayette County,Arkansas 
County,Lawrence County,Arkansas 
County,Lee County,Arkansas 
County,Lincoln County,Arkansas 
County,Little River County,Arkansas 
County,Logan County,Arkansas 
County,Lonoke County,Arkansas 
County,Madison County,Arkansas 
County,Marion County,Arkansas 
County,Miller County,Arkansas 
County,Mississippi County,Arkansas 
County,Monroe County,Arkansas 
County,Montgomery County,Arkansas 
County,Nevada County,Arkansas 
County,Newton County,Arkansas 
County,Ouachita County,Arkansas 
County,Perry County,Arkansas 
County,Phillips County,Arkansas 
County,Pike County,Arkansas 
County,Poinsett County,Arkansas 
County,Polk County,Arkansas 
County,Pope County,Arkansas 
County,Prairie County,Arkansas 
County,Pulaski County,Arkansas 
County,Randolph County,Arkansas 
County,Saline County,Arkansas 
County,Scott County,Arkansas 
County,Searcy County,Arkansas 
County,Sebastian County,Arkansas 
County,Sevier County,Arkansas 
County,Sharp County,Arkansas 
County,St. Francis County,Arkansas 
County,Stone County,Arkansas 
County,Union County,Arkansas 
County,Van Buren County,Arkansas 
County,Washington County,Arkansas 
County,White County,Arkansas 
County,Woodruff County,Arkansas 
County,Yell County,Arkansas 
County,Alameda County,California 
County,Alpine County,California 
County,Amador County,California 
County,Butte County,California 
County,Calaveras County,California 
County,Colusa County,California 
County,Contra Costa County,California 
County,Del Norte County,California 
County,El Dorado County,California 
County,Fresno County,California 
County,Glenn County,California 
County,Humboldt County,California 
County,Imperial County,California 
County,Inyo County,California 
County,Kern County,California 
County,Kings County,California 
County,Lake County,California 
County,Lassen County,California 
County,Los Angeles County,California 
County,Madera County,California 
County,Marin County,California 
County,Mariposa County,California 
County,Mendocino County,California 
County,Merced County,California 
County,Modoc County,California 
County,Mono County,California 
County,Monterey County,California 
County,Napa County,California 
County,Nevada County,California 
County,Orange County,California 
County,Placer County,California 
County,Plumas County,California 
County,Riverside County,California 
County,Sacramento County,California 
County,San Benito County,California 
County,San Bernardino County,California 
County,San Diego County,California 
County,San Francisco,California 
County,San Joaquin County,California 
County,San Luis Obispo County,California 
County,San Mateo County,California 
County,Santa Barbara County,California 
County,Santa Clara County,California 
County,Santa Cruz County,California 
County,Shasta County,California 
County,Sierra County,California 
County,Siskiyou County,California 
County,Solano County,California 
County,Sonoma County,California 
County,Stanislaus County,California 
County,Sutter County,California 
County,Tehama County,California 
County,Trinity County,California 
County,Tulare County,California 
County,Tuolumne County,California 
County,Ventura County,California 
County,Yolo County,California 
County,Yuba County,California 
County,Adams County,Colorado 
County,Alamosa County,Colorado 
County,Arapahoe County,Colorado 
County,Archuleta County,Colorado 
County,Baca County,Colorado 
County,Bent County,Colorado 
County,Boulder County,Colorado 
County,Broomfield County,Colorado 
County,Chaffee County,Colorado 
County,Cheyenne County,Colorado 
County,Clear Creek County,Colorado 
